"_time","sum(counts)","_span"
1613403600,3597880,600
1613404200,3360698,600
1613404800,3237279,600
1613405400,3547738,600
1613406000,3568877,600
1613406600,3794806,600
1613407200,3734699,600
1613407800,3758002,600
1613408400,3655629,600
1613409000,3761958,600
1613409600,3615932,600
1613410200,3566895,600
1613410800,3572901,600
1613411400,3472420,600
1613412000,3397256,600
1613412600,3625988,600
1613413200,3391556,600
1613413800,3356418,600
1613414400,3297203,600
1613415000,3282119,600
1613415600,3399983,600
1613416200,3311545,600
1613416800,3323436,600
1613417400,3560760,600
1613418000,3432587,600
1613418600,6061136,600
1613419200,3184743,600
1613419800,3648825,600
1613420400,3903093,600
1613421000,3384246,600
1613421600,3371814,600
1613422200,3362476,600
1613422800,3451327,600
1613423400,3881350,600
1613424000,3767014,600
1613424600,3472518,600
1613425200,3484254,600
1613425800,3335812,600
1613426400,3145241,600
1613427000,3489589,600
1613427600,3497610,600
1613428200,3609111,600
1613428800,3754950,600
1613429400,3983512,600
1613430000,4295372,600
1613430600,4548577,600
1613431200,4926284,600
1613431800,5578623,600
1613432400,5825752,600
1613433000,5501354,600
1613433600,5653490,600
1613434200,6791745,600
1613434800,5841377,600
1613435400,6188957,600
1613436000,6383050,600
1613436600,6388745,600
1613437200,6505317,600
1613437800,6685110,600
1613438400,6750196,600
1613439000,6833255,600
1613439600,6762951,600
1613440200,6720491,600
1613440800,6964108,600
1613441400,6814543,600
1613442000,6582326,600
1613442600,7079401,600
1613443200,6896234,600
1613443800,6883398,600
1613444400,7189218,600
1613445000,7216513,600
1613445600,8030244,600
1613446200,7595428,600
1613446800,7786770,600
1613447400,7328943,600
1613448000,8168515,600
1613448600,7587099,600
1613449200,7028233,600
1613449800,7442088,600
1613450400,7445701,600
1613451000,7722660,600
1613451600,7663376,600
1613452200,7565544,600
1613452800,7730074,600
1613453400,7379410,600
1613454000,7262076,600
1613454600,7171613,600
1613455200,7497704,600
1613455800,6694154,600
1613456400,7026399,600
1613457000,9510272,600
1613457600,7874126,600
1613458200,7140449,600
1613458800,7375642,600
1613459400,7190364,600
1613460000,7486180,600
1613460600,7033681,600
1613461200,6822726,600
1613461800,6990985,600
1613462400,7247895,600
